STATE,YEAR,MONTH_NAME,EVENT_TYPE
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
MONTANA,2001,January  ,High Wind
MONTANA,2001,January  ,High Wind
MONTANA,2001,January  ,High Wind
MONTANA,2001,January  ,High Wind
MONTANA,2001,January  ,High Wind
MONTANA,2001,January  ,High Wind
MONTANA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
NEW HAMPSHIRE,2001,January  ,Heavy Snow
NEW HAMPSHIRE,2001,January  ,Heavy Snow
NEW HAMPSHIRE,2001,January  ,Heavy Snow
NEW HAMPSHIRE,2001,January  ,Heavy Snow
NEW HAMPSHIRE,2001,January  ,Heavy Snow
NEW HAMPSHIRE,2001,January  ,Heavy Snow
NEW HAMPSHIRE,2001,January  ,Heavy Snow
NEW HAMPSHIRE,2001,January  ,Heavy Snow
ALASKA,2001,January  ,High Wind
MAINE,2001,January  ,Heavy Snow
MAINE,2001,January  ,Heavy Snow
MAINE,2001,January  ,Heavy Snow
MAINE,2001,January  ,Heavy Snow
MAINE,2001,January  ,Heavy Snow
MAINE,2001,January  ,Heavy Snow
ALASKA,2001,January  ,Extreme Cold/Wind Chill
MAINE,2001,January  ,Winter Storm
ALASKA,2001,January  ,High Wind
MAINE,2001,January  ,Winter Storm
MAINE,2001,January  ,Winter Storm
MAINE,2001,January  ,Winter Storm
ALASKA,2001,January  ,Blizzard
ALASKA,2001,January  ,Blizzard
ALASKA,2001,January  ,Extreme Cold/Wind Chill
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,Avalanche
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
FLORIDA,2001,January  ,Frost/Freeze
ALASKA,2001,January  ,Heavy Snow
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
WISCONSIN,2001,January  ,Heavy Snow
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
CALIFORNIA,2001,January  ,Storm Surge/Tide
ALASKA,2001,January  ,Extreme Cold/Wind Chill
ALASKA,2001,January  ,High Wind
AMERICAN SAMOA,2001,January  ,Flood
ALASKA,2001,January  ,Blizzard
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
OREGON,2001,January  ,High Wind
CALIFORNIA,2001,January  ,Heavy Snow
CALIFORNIA,2001,January  ,Heavy Rain
CALIFORNIA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
VIRGINIA,2001,January  ,Heavy Snow
CALIFORNIA,2001,January  ,Flood
WEST VIRGINIA,2001,January  ,Winter Weather
CALIFORNIA,2001,January  ,Heavy Snow
WEST VIRGINIA,2001,January  ,Winter Weather
WEST VIRGINIA,2001,January  ,Winter Weather
CALIFORNIA,2001,January  ,Dust Storm
NEW JERSEY,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
CALIFORNIA,2001,January  ,Flood
MICHIGAN,2001,January  ,Heavy Snow
MICHIGAN,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
CALIFORNIA,2001,January  ,High Surf
CALIFORNIA,2001,January  ,High Surf
